자바의 창시자는 누구인가?,제임스 고슬링,ㅈㅇㅅ ㄱㅅㄹ
다음 중 비선점 스케줄링이 아닌것은? a.우선순위 스케줄링 b.FIFO 스케줄링 c.SRT 스케줄링 d.SJF 스케줄링,c,S00 스케줄링
(  )은/는 하드웨어와 소프트웨어 리소스를 관리하고 컴퓨터 프로그램을 위한 공통 서비스를 제공하는 소프트웨어이다,운영체제,ㅇㅇㅊㅈ
전자우편이나 파일전송과 같은 사용자 서비스를 제공하는 계층은?,응용계층,ㅇㅇ계층
부모 프로세스가 먼저 종료한 자식 프로세스는 어떤 프로세스인가?,고아 프로세스,ㄱㅇ 프로세스
현재 실행중인 프로그램을 중단시키고 CPU에게 다른 프로그램을 실행시키는 행위를 무엇이라고 하는가?,컨텍스트 스위칭,ㅋㅌㅅㅌ 스위칭
현재 실행중인 프로그램에 관한 일체의 실행 상황 정보를 무엇이라고 하는가?,컨텍스트,ㅋㅌㅅㅌ
CPU의 주소 선이 총 24개가 있다면 이 CPU가 액세스 할 수 있는 메모리의 최대 크기는? ( )MB,16,2^24byte
운영체제가 지원하는 서비스를 응용프로그램이 활용할 수 있도록 해주는 소프트웨어 인터페이스를 무엇이라고 부르는가?,시스템호출,ㅅㅅㅌ호출
사용자모드에서는 사용할 수 없고 커널 모드에서 사용할 수 있는 특별한 CPU 기계 명령은?,특권명령,ㅌㄱ명령
스레드에 관한 정보를 저장하는 구조체를 무엇이라고 부르는가?,TCB,TㅁB
스케줄링 과정에서 선택되지 못한 채 오랫동안 준비 리스트에 있는 상황을 무엇이라고 부르는가?,기아,ㄱㅇ
스레드가 준비 리스트에 머무르는 시간에 비례하여 우선순위를 높여주는 기법은?,에이징,ㅇㅇㅈ
